,country_x,Opposition Challenge,OppBoycott,year,client,PollsBad,PollsGood,IncumbentRan,GoodEcon,polcomp,adjexconst,IOScore,reltradelog,transition,PostCW,Opposition Win,Transitional,OppGain,EconCrisis,exconst,tenure,leverage,Harrass,Rentier,v2x_polyarchy,ViolenceAfter,Violence,PostProtestFraud,longten,Major Aid Recipient
307,Paraguay,0,1,1978,0,0,0,1,1,2.0,1.0,1.0,0.04954250420744039,0,0,0,0,0,0,1.0,24.0,0,1,1,0.164,0,0,0,1,1
308,Paraguay,0,1,1983,0,0,0,1,1,2.0,1.0,1.0,0.0633141399916569,0,0,0,0,0,0,1.0,29.0,0,1,0,0.166,0,0,0,1,0
309,Paraguay,0,1,1988,0,0,0,1,1,2.0,1.0,1.0,0.0482095163858536,0,0,0,0,0,0,1.0,34.0,0,1,0,0.165,0,0,0,1,0
310,Paraguay,0,0,1989,0,0,1,1,0,2.0,1.0,1.0,0.06240503017148865,0,0,0,1,0,0,1.0,35.0,0,0,0,0.172,0,0,0,1,0
311,Paraguay,0,0,1993,0,1,0,0,0,7.0,7.0,1.0,0.12862762857102897,0,1,0,0,0,0,7.0,4.0,0,0,0,0.468,0,1,0,0,0
313,Paraguay,1,0,2000,0,0,0,0,0,7.0,7.0,2.0,0.1527858900706786,0,1,1,0,1,0,7.0,1.0,0,0,1,0.547,0,0,0,0,1
314,Paraguay,0,0,2003,0,1,0,0,0,7.0,7.0,2.0,0.05951764765417631,0,1,0,0,0,1,7.0,4.0,0,0,1,0.574,0,0,0,0,1
321,Chile,1,0,1970,0,1,0,0,0,7.0,5.0,2.0,0.10551289097573187,0,0,1,0,1,0,5.0,6.0,1,0,1,0.582,0,0,0,0,1
322,Chile,1,0,1989,0,1,0,0,1,8.0,2.0,2.0,0.32224753645481585,0,0,1,0,1,0,2.0,16.0,0,0,0,0.109,0,0,0,1,0
332,Argentina,0,0,1946,0,0,0,0,1,2.0,1.0,1.0,0.01281526691341244,0,0,0,0,0,0,1.0,2.0,0,0,0,0.094,0,1,0,0,0
333,Argentina,0,0,1951,0,0,0,1,0,1.0,1.0,1.0,0.04688358628831924,0,0,0,0,0,0,1.0,5.0,0,1,0,0.383,0,1,0,0,0
335,Argentina,1,0,1973,0,0,0,0,0,1.0,1.0,2.0,0.05276135131895746,0,0,1,0,1,0,1.0,2.0,0,1,0,0.13,1,1,0,0,0
336,Argentina,0,0,1973,0,0,0,0,0,1.0,1.0,2.0,0.05276135131895746,0,0,0,0,0,0,1.0,2.0,0,0,0,0.13,1,1,0,0,0
396,Netherlands,0,0,1946,0,0,0,1,0,10.0,7.0,0.0,0.009493669310273714,0,0,0,0,1,1,7.0,1.0,0,0,0,0.172,0,0,0,0,0
417,Belgium,1,0,1946,0,0,0,1,1,8.0,7.0,0.0,0.0,0,0,1,0,1,0,7.0,1.0,0,0,0,0.234,0,0,0,0,0
418,Belgium,1,0,1949,0,0,0,1,1,8.0,7.0,3.0,0.0,0,0,1,0,0,0,7.0,2.0,0,0,1,0.514,0,0,0,0,1
483,Spain,0,0,1977,0,0,0,1,0,-88.0,1.0,2.0,0.2201506666578977,1,0,0,0,1,1,-88.0,1.0,1,0,0,0.163,0,0,0,0,0
484,Spain,0,0,1979,0,0,0,1,0,9.0,7.0,2.0,0.26030514630408735,0,0,0,0,0,1,7.0,3.0,0,0,0,0.528,0,0,0,0,0
520,Poland,1,0,1990,0,1,0,0,0,9.0,4.0,1.0,0.06753159540263082,0,1,1,1,1,1,4.0,9.0,0,0,1,0.326,0,0,0,0,1
521,Poland,1,0,1990,0,1,0,0,0,9.0,4.0,1.0,0.06753159540263082,0,1,1,1,1,1,4.0,9.0,0,0,1,0.326,0,0,0,0,1
562,Czechoslovakia,1,0,1990,0,1,0,1,0,2.0,3.0,0.0,0.0894067701898546,0,1,1,1,1,0,3.0,1.0,0,0,0,0.151,0,0,0,0,0
570,Slovakia,1,0,1994,0,1,0,1,1,7.0,6.0,2.0,0.3518208060132928,0,1,1,0,1,0,6.0,1.0,0,0,0,0.327,0,0,0,0,0
594,Albania,1,0,1991,0,0,0,1,0,6.0,3.0,0.0,0.035908804287297695,0,1,0,0,0,1,3.0,6.0,0,1,0,0.182,1,1,1,0,0
595,Albania,1,0,1991,0,0,0,1,0,6.0,3.0,0.0,0.035908804287297695,0,1,0,0,0,1,3.0,6.0,0,1,0,0.182,1,1,1,0,0
596,Albania,1,0,1992,0,0,0,1,0,-88.0,1.5,0.0,0.04921476380138937,1,1,1,0,1,1,-88.0,7.0,1,0,0,0.291,0,1,0,0,0
597,Albania,1,0,1992,0,0,0,1,0,-88.0,1.5,0.0,0.04921476380138937,1,1,1,0,1,1,-88.0,7.0,1,0,0,0.291,0,1,0,0,0
598,Albania,1,0,1996,0,0,0,1,0,6.0,5.0,1.0,0.024183179099972,0,1,0,0,0,1,5.0,4.0,1,1,1,0.449,1,1,1,0,1
599,Albania,1,1,1996,0,0,0,1,0,6.0,5.0,1.0,0.024183179099972,0,1,0,0,0,1,5.0,4.0,1,1,1,0.449,0,1,1,0,1
600,Albania,1,0,1997,0,0,0,1,0,6.0,5.0,1.0,0.03983813921363657,0,1,1,0,1,1,5.0,5.0,1,0,1,0.404,0,1,0,0,1
601,Albania,1,0,1997,0,0,1,1,0,6.0,5.0,1.0,0.03983813921363657,0,1,1,0,1,1,5.0,5.0,1,0,1,0.404,0,1,0,0,1
602,Albania,0,0,2001,0,0,0,1,0,8.0,5.0,2.0,0.04716138103752223,0,1,0,0,1,0,5.0,2.0,0,0,1,0.392,0,0,0,0,1
603,Albania,0,0,2001,0,0,0,1,0,8.0,5.0,2.0,0.04716138103752223,0,1,0,0,1,0,5.0,2.0,0,0,1,0.392,0,0,0,0,1
604,Albania,1,0,2005,0,0,0,1,0,9.0,6.0,2.0,0.08486783601854785,0,1,1,0,1,0,6.0,3.0,0,0,1,0.495,0,0,0,0,1
605,Albania,0,0,2009,0,0,1,1,1,9.0,7.0,3.0,0.1746202864862856,0,1,0,0,1,0,7.0,4.0,0,0,1,0.517,0,1,0,0,1
606,Albania,1,0,2013,0,1,0,1,0,9.0,7.0,3.0,0.1901992209999957,0,1,1,0,1,0,7.0,8.0,0,0,1,0.537,0,0,0,0,1
611,Montenegro,0,0,2009,0,0,1,1,1,9.0,7.0,1.0,0.6880501356329073,0,1,0,0,0,0,7.0,6.0,0,0,1,0.492,0,0,0,0,1
612,Montenegro,1,0,2013,0,0,0,1,0,9.0,7.0,2.0,0.39101178329025366,0,1,0,0,0,1,7.0,10.0,0,0,0,0.498,0,0,1,0,0
613,Macedonia (FYROM),1,0,1994,0,0,1,1,0,9.0,5.0,0.0,0.24734899754569636,0,1,0,0,0,1,5.0,2.0,0,0,1,0.278,0,0,1,0,1
614,Macedonia (FYROM),1,1,1994,0,0,1,1,0,9.0,5.0,0.0,0.24734899754569636,0,1,0,0,0,1,5.0,2.0,0,0,1,0.278,0,0,1,0,1
615,Macedonia (FYROM),1,0,1998,0,0,0,1,0,9.0,5.0,1.0,0.32079337640460404,0,1,1,0,1,0,5.0,6.0,0,0,1,0.483,0,0,0,0,1
616,Macedonia (FYROM),1,0,1998,0,0,0,1,0,9.0,5.0,1.0,0.32079337640460404,0,1,1,0,1,0,5.0,6.0,0,0,1,0.483,0,0,0,0,1
617,Macedonia (FYROM),1,0,2002,0,0,0,1,0,9.0,5.0,1.0,0.31384113306644607,0,1,1,0,1,0,5.0,4.0,0,0,1,0.467,0,0,0,0,1
620,Macedonia (FYROM),0,0,2011,0,0,1,1,0,9.0,7.0,1.0,0.6686860522406742,0,1,0,0,1,1,7.0,5.0,0,0,1,0.562,0,0,0,0,1
621,Croatia,0,1,1992,0,0,1,1,0,6.0,3.0,0.0,0,0,1,0,0,0,1,3.0,2.0,0,0,1,0.246,0,1,0,0,1
622,Croatia,0,0,1997,0,0,1,1,0,3.0,3.0,1.0,0.56763899217525,0,1,0,0,0,0,3.0,7.0,0,0,1,0.41,0,0,0,0,1
623,Croatia,1,0,2000,0,1,0,0,0,-88.0,3.0,2.0,0.5608593755709529,1,1,1,0,1,0,-88.0,1.0,0,0,1,0.459,0,0,0,0,1
624,Croatia,1,0,2000,0,1,0,0,0,-88.0,3.0,2.0,0.5608593755709529,1,1,1,0,1,0,-88.0,1.0,0,0,1,0.459,0,0,0,0,1
629,Serbia (Yugoslavia),1,1,2000,0,1,0,1,0,2.0,3.0,0.0,0.0,0,1,1,0,1,1,3.0,11.0,1,1,0,0.282,0,0,1,0,0
641,Kosovo,1,0,2010,0,0,1,1,0,9.0,7.0,0.0,0.1354742270354574,0,1,0,1,0,1,7.0,2.0,0,0,1,0.507,1,1,1,0,1
648,Greece,1,1,1946,0,0,0,1,0,7.0,7.0,0.0,0.009113172723133289,0,0,1,0,1,1,7.0,1.0,0,0,1,0.127,0,1,0,0,1
650,Greece,0,0,1951,0,0,0,1,1,2.0,7.0,2.0,0.031407474404150995,0,0,0,1,1,1,7.0,1.0,0,0,1,0.316,0,0,0,0,1
652,Greece,0,0,1956,0,0,0,1,1,2.0,7.0,3.0,0.038225606848549254,0,0,0,1,1,0,7.0,1.0,0,0,1,0.428,0,0,0,0,1
654,Greece,0,0,1961,0,0,0,1,1,2.0,7.0,3.0,0.040019462690841244,0,0,0,1,0,0,7.0,3.0,0,0,1,0.42,0,0,0,0,1
655,Greece,1,0,1963,0,0,1,1,0,2.0,7.0,3.0,0.033511244170919136,0,0,1,1,1,0,7.0,2.0,0,0,0,0.389,0,0,0,0,0
