obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,ebirthdate,deathdate,edeathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur
ARG-1982-2,82043db5-1e42-11e4-b4cd-db5882bf8def,160,ARG,Bignone,1982-07-01,01jul1982,1983-12-10,10dec1983,Regular,Regular,Regular,0,Imprisonment,M,1928,-777,1928-01-21,21jan1928,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Reynaldo-5FBignone&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=wgVML-mIyaUtyqoLCksxaLlAoaATFv5v2E5T0etfiLQ&e=,0,1,0,2,NA,NA
ARG-1983,82043db6-1e42-11e4-b4cd-db5882bf8def,160,ARG,Alfonsin,1983-12-10,10dec1983,1989-07-08,08jul1989,Regular,Regular,Regular,0,OK,M,1926,2009,1926-03-13,13mar1926,NA,,NA,0,1,0,0,NA,NA
ARG-1989,82046e88-1e42-11e4-b4cd-db5882bf8def,160,ARG,Menem,1989-07-08,08jul1989,1999-12-10,10dec1999,Regular,Regular,Regular,0,OK,M,1930,-777,1930-07-02,02jul1930,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Carlos-5FMenem&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=sKj1BC_koD71EbWyKVuv4-4hf-QbNfMVpAh6K3er4ac&e=,0,1,0,0,NA,NA
ARG-1999,82046e89-1e42-11e4-b4cd-db5882bf8def,160,ARG,de la Rua,1999-12-10,10dec1999,2001-12-21,21dec2001,Regular,Regular,Regular,0,OK,M,1937,-777,1937-09-15,15sep1937,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Fernando-5Fde-5Fla-5FR-25C3-25BAa&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=QeObWptGr5C8woXejQ9Tc3Ta1TTKOTPFD5RhxRyynII&e=,0,1,0,0,NA,NA
ARG-2001-1,82046e8a-1e42-11e4-b4cd-db5882bf8def,160,ARG,Ramon Puerta,2001-12-21,21dec2001,2001-12-23,23dec2001,Regular,Regular,Regular,0,OK,M,1951,-777,NA,,NA,,NA,0,1,0,0,NA,NA
ARG-2001-2,82049f5c-1e42-11e4-b4cd-db5882bf8def,160,ARG,Adolfo Rodriguez Saa,2001-12-23,23dec2001,2002-01-01,01jan2002,Regular,Regular,Regular,0,OK,M,1947,-777,NA,,NA,,NA,0,1,0,0,NA,NA
ARG-2002,82049f5d-1e42-11e4-b4cd-db5882bf8def,160,ARG,Eduardo Duhalde,2002-01-02,02jan2002,2003-05-25,25may2003,Regular,Regular,Regular,0,OK,M,1941,-777,1941-10-05,05oct1941,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Eduardo-5FDuhalde&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=arKzhfeZiEbSeUbAQVsg0EJtmTVjRDUbn7M83F9cwdg&e=,0,1,0,0,NA,NA
ARG-2003,82049f5e-1e42-11e4-b4cd-db5882bf8def,160,ARG,Nestor Kirchner,2003-05-25,25may2003,2007-12-10,10dec2007,Regular,Regular,Regular,0,OK,M,1950,2010,NA,,NA,,NA,0,1,0,0,NA,NA
ARG-2007,8250bb5e-1e42-11e4-b4cd-db5882bf8def,160,ARG,Fernandez de Kirchner,2007-12-10,10dec2007,2015-12-10,10dec2015,Regular,Regular,Regular,0,Missing: Left Office after 2014-12-31,F,1953,-777,1953-02-19,19feb1953,NA,,NA,0,1,0,-999,NA,NA
ARG-2015,43f5aea2-de6a-11e5-ba44-bb6d7c1a9a58,160,ARG,Mauricio Macri,2015-12-10,10dec2015,2015-12-31,31dec2015,Regular,Still in Office,Still in Office,0,Leader Still in Office,F,1959,-777,1959-02-08,08feb1959,NA,,NA,0,-888,-888,-888,NA,NA
URU-1873,82049f5f-1e42-11e4-b4cd-db5882bf8def,165,URU,Jose Eugenio Ellauri,1873-02-15,15feb1873,1875-01-15,15jan1875,Regular,Irregular,Unknown,0,Exile,M,1834,1894,NA,,NA,,NA,0,3,-999,1,NA,NA
URU-1875,19752f58-3bbd-11e5-afeb-eb6f07f9fec7,165,URU,Pedro Varela Olivera,1875-01-15,15jan1875,1876-03-10,10mar1876,Irregular,Irregular,Unknown,1,Exile,M,1837,1903,NA,,NA,,NA,1,3,-999,1,NA,NA
URU-1876,8204d030-1e42-11e4-b4cd-db5882bf8def,165,URU,Lorenzo Latorre,1876-03-10,10mar1876,1879-02-14,14feb1879,Irregular,Regular,Regular,0,OK,M,1844,1916,NA,,NA,,NA,1,1,0,0,NA,NA
URU-1879-1,8204d031-1e42-11e4-b4cd-db5882bf8def,165,URU,Francisco Antonino Vidal,1879-02-14,14feb1879,1879-03-01,01mar1879,Regular,Regular,Regular,0,OK,M,1827,1891,NA,,NA,,NA,0,1,0,0,NA,NA
URU-1879-2,8204d030-1e42-11e4-b4cd-db5882bf8def,165,URU,Lorenzo Latorre,1879-03-01,01mar1879,1880-03-15,15mar1880,Regular,Regular,Regular,1,Exile,M,1844,1916,NA,,NA,,NA,0,1,0,1,NA,NA
URU-1880,8204d031-1e42-11e4-b4cd-db5882bf8def,165,URU,Francisco Antonino Vidal,1880-03-15,15mar1880,1882-02-28,28feb1882,Regular,Irregular,Unknown,1,OK,M,1827,1891,NA,,NA,,NA,0,3,-999,0,NA,NA
URU-1882,8204d032-1e42-11e4-b4cd-db5882bf8def,165,URU,Maximo Santos,1882-03-01,01mar1882,1886-03-01,01mar1886,Irregular,Regular,Regular,0,OK,M,1847,1889,NA,,NA,,NA,1,1,0,0,NA,NA
URU-1886-1,8204d031-1e42-11e4-b4cd-db5882bf8def,165,URU,Francisco Antonino Vidal,1886-03-01,01mar1886,1886-05-24,24may1886,Regular,Irregular,Unknown,2,Missing: No Information Found,M,1827,1891,NA,,NA,,NA,0,3,-999,-666,NA,NA
URU-1886-2,8204d032-1e42-11e4-b4cd-db5882bf8def,165,URU,Maximo Santos,1886-05-24,24may1886,1886-11-18,18nov1886,Regular,Regular,Regular,1,Exile,M,1847,1889,NA,,NA,,NA,0,1,0,1,NA,NA
URU-1886-3,8204d033-1e42-11e4-b4cd-db5882bf8def,165,URU,Maximo Tajes,1886-11-18,18nov1886,1890-03-01,01mar1890,Regular,Regular,Regular,0,OK,M,1852,1912,NA,,NA,,NA,0,1,0,0,NA,NA
URU-1890,8204d034-1e42-11e4-b4cd-db5882bf8def,165,URU,Julio Herrera y Obes,1890-03-01,01mar1890,1894-03-01,01mar1894,Regular,Regular,Regular,0,OK,M,1841,1912,NA,,NA,,NA,0,1,0,0,NA,NA
URU-1894,82050104-1e42-11e4-b4cd-db5882bf8def,165,URU,Juan Idiarte Borda,1894-03-21,21mar1894,1897-08-25,25aug1897,Regular,Irregular,Unknown,0,Death,M,1844,1897,NA,,NA,,NA,0,3,-999,3,NA,NA
